,country,people,obesity_levels,obesity_level_percentage,date
370,Canada, females ,obese ,>=30.0,1999
391,Canada, males ,obese ,>=30.0,1999
350,Canada, general ,obese ,>=30.0,2000
392,Canada, males ,obese ,>=30.0,2000
371,Canada, females ,obese ,>=30.0,2000
393,Canada, males ,obese ,>=30.0,2001
372,Canada, females ,obese ,>=30.0,2001
351,Canada, general ,obese ,>=30.0,2001
394,Canada, males ,obese ,>=30.0,2002
352,Canada, general ,obese ,>=30.0,2002
373,Canada, females ,obese ,>=30.0,2002
353,Canada, general ,obese ,>=30.0,2003
395,Canada, males ,obese ,>=30.0,2003
374,Canada, females ,obese ,>=30.0,2003
396,Canada, males ,obese ,>=30.0,2004
354,Canada, general ,obese ,>=30.0,2004
375,Canada, females ,obese ,>=30.0,2004
